"";"Title";"Date";"all_countries";"RC.Title";"RC.ID";"Ongoing.Past.x";"Initiative.x";"Intervention";"Type.of.emergency.x";"Type.of.displacement.x";"Type.of.displacement.setting";"Mandating.body.agency.x";"REACH.Pillar";"Type.of.information.product";"REACH.Tools";"IASC.Sector";"IASC.Cross.Cutting.Issue";"Donor";"Path";"Year";"Month";"RC.Age";"Country";"country_1";"Research.Cycle.ID";"Research.Cycle.Title";"Project.Code";"Pillar";"Sub.Pillar";"Initiative.y";"Type.of.displacement.y";"Type.of.emergency.y";"Mandating.body.agency.y";"Ongoing.Past.y";"RC.Number";"Country.Code"
"11";"TCD_Factsheet_Comparative Dashboard, Karal, Lake Region_June 2016";"2016-07";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"host community, informal settlement";"REACH";"Displacement";"Factsheet";"";"Multisector";"Age";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdfactsheetcomparative-dashboard-karal-lake-regionjune-2016";2016;7;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"12";"TCD_Factsheet_Comparative Dashboard, Kouloudia, Lake Region_June 2016";"2016-07";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"host community, informal settlement";"REACH";"Displacement";"Factsheet";"";"Multisector";"Age";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdfactsheetcomparative-dashboard-kouloudia-lake-regionjune-2016";2016;7;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"13";"TCD_Factsheet_Comparative Dashboard, Liwa, Lake Region_June 2016";"2016-07";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"host community, informal settlement";"REACH";"Displacement";"Factsheet";"";"Multisector";"Age";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdfactsheetcomparative-dashboard-liwa-lake-regionjune-2016";2016;7;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"14";"TCD_Factsheet_Comparative Dashboard, Mani, Lake Region_June 2016";"2016-07";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"host community, informal settlement";"REACH";"Displacement";"Factsheet";"";"Multisector";"Age";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdfactsheetcomparative-dashboard-mani-lake-regionjune-2016";2016;7;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"15";"TCD_Factsheet_Comparative Dashboard, Ngouboua, Lake Region_June 2016";"2016-07";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"host community, informal settlement";"REACH";"Displacement";"Factsheet";"";"Multisector";"Age";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdfactsheetcomparative-dashboard-ngouboua-lake-regionjune-2016";2016;7;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"16";"TCD_Factsheet_Comparative Dashboard, Ngouri, Lake Region_June 2016";"2016-07";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"host community, informal settlement";"REACH";"Displacement";"Factsheet";"";"Multisector";"Age";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdfactsheetcomparative-dashboard-ngouri-lake-regionjune-2016";2016;7;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"17";"TCD_Report_Village Assessment, Lake Region_June 2016";"2016-07";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"host community";"REACH";"Displacement";"Report";"";"Multisector";"Age";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdreportvillage-assessment-lake-regionjune-2016";2016;7;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"18";"REACH-TD-Lac-Nb_InformateursCles_22juin2016_A4";"2016-08";"Chad, Niger";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"cross-border displacement";"";"Other";"Displacement";"Map";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad-niger/reach-td-lac-nbinformateurscles22juin2016a4";2016;8;"old";"Chad";" Niger";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"19";"REACH-TD-Lac-Nb_InformateursCles_22juin2016_A4";"2016-08";"Chad, Niger";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"cross-border displacement";"";"Other";"Displacement";"Map";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad-niger/reach-td-lac-nbinformateurscles22juin2016a4";2016;8;"old";"Chad";" Niger";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"20";"REACH_TCD_Lac_CentreSante_03aout2016_A4";"2016-08";"Chad, Niger";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Disaster";"cross-border displacement";"";"Other";"Displacement";"Map";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad-niger/reachtcdlaccentresante03aout2016a4";2016;8;"old";"Chad";" Niger";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"21";"REACH_TCD_Lac_CentreSante_03aout2016_A4";"2016-08";"Chad, Niger";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Disaster";"cross-border displacement";"";"Other";"Displacement";"Map";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad-niger/reachtcdlaccentresante03aout2016a4";2016;8;"old";"Chad";" Niger";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"22";"REACH_TCD_Lac_Ecoles_03aout2016_A4";"2016-08";"Chad, Niger";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Disaster";"cross-border displacement";"";"Other";"Displacement";"Map";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad-niger/reachtcdlacecoles03aout2016a4";2016;8;"old";"Chad";" Niger";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"23";"REACH_TCD_Lac_Ecoles_03aout2016_A4";"2016-08";"Chad, Niger";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Disaster";"cross-border displacement";"";"Other";"Displacement";"Map";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad-niger/reachtcdlacecoles03aout2016a4";2016;8;"old";"Chad";" Niger";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"24";"REACH_TCD_Lac_MouvementPopulation_22juin2016_A4";"2016-08";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Disaster";"cross-border displacement";"";"Other";"Displacement";"Map";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/reachtcdlacmouvementpopulation22juin2016a4";2016;8;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"25";"REACH_TCD_LacTchad_Ecoles Abris_03aout2016_A3";"2016-08";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"cross-border displacement";"";"Other";"Displacement";"Map";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/reachtcdlactchadecoles-abris03aout2016a3";2016;8;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"26";"REACH_TCD_LacTchad_Distribution Alimentaire_03aout2016_A3";"2016-08";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"cross-border displacement";"";"Other";"Displacement";"Map";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/reachtcdlactchaddistribution-alimentaire03aout2016a3";2016;8;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"27";"TCD_Map_Lac Tchad Carte de R√©f√©rence_sept 2";"2016-09";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"camp, host community, informal settlement";"Inter-Cluster Coordination Group, REACH";"Displacement";"Map";"";"Multisector";"Environment";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdmaplac-tchad-carte-de-r-f-rencesept-2016a0";2016;9;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"28";"TCD_Map_Lac Tchad Carte de R√©f√©rence: Bagassola_sept 2";"2016-09";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"";"camp, host community, informal settlement";"Inter-Cluster Coordination Group, REACH";"Displacement";"Map";"";"Multisector";"Environment";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdmaplac-tchad-carte-de-r-f-rence-bagassolasept-2016a0";2016;9;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"29";"TCD_Map_Lac Tchad Carte de R√©f√©rence: Bol_sept 2";"2016-09";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"";"camp, host community, informal settlement";"Inter-Cluster Coordination Group, REACH";"Displacement";"Map";"";"Multisector";"Environment";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdmaplac-tchad-carte-de-r-f-rence-bolsept-2016a0";2016;9;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"30";"TCD_Map_Lac Tchad Carte de R√©f√©rence, Nord_sept 2";"2016-09";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"camp, host community, informal settlement";"Inter-Cluster Coordination Group, REACH";"Displacement";"Map";"";"Multisector";"Environment";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdmaplac-tchad-carte-de-r-f-rence-nordsept-2016a0";2016;9;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"31";"REACH_TCD_Lac_Site des D√©plac";"2016-09";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"camp";"REACH";"Displacement";"Map";"";"Camp coordination and camp management";"";"REACH";"http://www.reachresourcecentre.info/chad/reachtcdlacsite-des-d-plac-s";2016;9;"old";"Chad";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"32";"REACH_TCD_Lac_Villages acceuillant des nouveaux arriv√";"2016-09";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Complex Emergency";"internal displacement";"camp";"REACH";"Displacement";"Map";"";"Camp coordination and camp management";"";"REACH";"http://www.reachresourcecentre.info/chad/reachtcdlacvillages-acceuillant-des-nouveaux-arriv-s";2016;9;"old";"Chad";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"33";"TCD_Presentation_MSNA in the Lake Chad Region_October 2016";"2016-10";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Complex Emergency";"internal displacement";"camp, host community, informal settlement";"REACH";"Displacement";"Presentation";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdpresentationmsna-in-the-lake-chad-regionoctober-2016";2016;10;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"34";"TCD_Report_Evaluation Multisectorielle_October 2016";"2016-10";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Complex Emergency";"internal displacement";"camp, host community, informal settlement";"REACH";"Displacement";"Report";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdreportevaluation-multisectorielleoctober-2016";2016;10;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"35";"TCD_Factsheet_ComparativeDashboard_LakeRegion_September2016";"2016-11";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Complex Emergency";"";"camp, host community";"REACH";"Displacement";"Factsheet";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdfactsheetcomparativedashboardlakeregionseptember2016";2016;11;"old";"Chad";"";"TCD1600";"Old research cycles 2016 ";"22BTV";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacement // Cross-border displacement";"Conflict";"REACH";NA;"1600";"TCD"
"36";"TCD_Profil_Pr√©occupations S√©curitaires dans la R√©gion du Lac Tchad_F√";"2017-03";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Complex Emergency";"cross-border displacement";"host community, informal settlement";"REACH";"Displacement";"Profile";"";"Protection";"Gender";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdprofilpr-occupations-s-curitaires-dans-la-r-gion-du-lac-tchadf-vrier-2017";2017;3;"old";"Chad";"";"TCD1700";"Old research cycles 2017";"22BTV + 22iAEE";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacemetn";"Conflict";"REACH";NA;"1700";"TCD"
"37";"TCD_Factsheet_Evaluation Multisectorielle Bagassola_Novembre 2017";"2017-12";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"";"REACH";"Displacement";"Factsheet";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdfactsheetevaluation-multisectorielle-bagassolanovembre-2017";2017;12;"old";"Chad";"";"TCD1700";"Old research cycles 2017";"22BTV + 22iAEE";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacemetn";"Conflict";"REACH";NA;"1700";"TCD"
"38";"TCD_Factsheet_Evaluation Multisectorielle_Daboua et Kaiga Kindjiria_Novembre 2017";"2017-12";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"";"REACH";"Displacement";"Factsheet";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdfactsheetevaluation-multisectorielledaboua-et-kaiga-kindjirianovembre-2017";2017;12;"old";"Chad";"";"TCD1700";"Old research cycles 2017";"22BTV + 22iAEE";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacemetn";"Conflict";"REACH";NA;"1700";"TCD"
"39";"TCD_Factsheet_Evaluation Multisectorielle_Liwa_Novembre 2017";"2017-12";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"";"REACH";"Displacement";"Factsheet";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdfactsheetevaluation-multisectorielleliwanovembre-2017";2017;12;"old";"Chad";"";"TCD1700";"Old research cycles 2017";"22BTV + 22iAEE";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacemetn";"Conflict";"REACH";NA;"1700";"TCD"
"40";"TCD_Factsheet_Evaluation Multisectorielle Ngouboua_Novembre 2017";"2017-12";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"camp, host community, informal settlement";"REACH";"Displacement";"Factsheet";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdfactsheetevaluation-multisectorielle-ngoubouanovembre-2017";2017;12;"old";"Chad";"";"TCD1700";"Old research cycles 2017";"22BTV + 22iAEE";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacemetn";"Conflict";"REACH";NA;"1700";"TCD"
"41";"TCD_Pr√©sentation_Evaluation multisectorielle Lac Tchad_Novembre 2";"2017-12";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"";"REACH";"Planning in Emergencies";"Presentation";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdpr-sentationevaluation-multisectorielle-lac-tchadnovembre-2017";2017;12;"old";"Chad";"";"TCD1700";"Old research cycles 2017";"22BTV + 22iAEE";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacemetn";"Conflict";"REACH";NA;"1700";"TCD"
"42";"TCD_Rapport_Evaluation multisectorielle Lac Tchad_Novembre 2017";"2017-12";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"internal displacement";"";"REACH";"Planning in Emergencies";"Report";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdrapportevaluation-multisectorielle-lac-tchadnovembre-2017-0";2017;12;"old";"Chad";"";"TCD1700";"Old research cycles 2017";"22BTV + 22iAEE";"Multi-Sectoral Planning";"Multi-sector Needs Assessment";"REACH";"Internal Displacemetn";"Conflict";"REACH";NA;"1700";"TCD"
"43";"TCD_TDR_Lac Tchad Retourn√©s_Mars2";"2018-03";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"";"";"Camp Coordination and Camp Management cluster";"Displacement";"Terms of Reference";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdtdrlac-tchad-retourn-smars2018";2018;3;"new";"Chad";"";"TCD1801";"Evaluation des dynamiques de d��placement et des besoins essentiels des populations revenues dans la cuvette Sud d";"22iAEE";"People on the move: Movements and Intentions";"CAMP and Host + Movements and intentions";"REACH";"Internal Displacement";"Complex";"CCCM cluster";NA;"1801";"TCD"
"44";"TCD_MAP_Zone-Lac_Reference_01Mar2018";"2018-04";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"cross-border displacement";"camp, host community, informal settlement";"REACH";"Displacement";"Map";"";"Multisector";"";"ECHO, USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdmapzone-lacreference01mar2018";2018;4;"new";"Chad";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"45";"TCD_BDD_IC_Iles de retour_Lac Tchad_Mars2018";"2018-04";"Chad";NA;NA;NA;NA;"Lake Chad Displacement Crisis";"Conflict";"";"";"Other";"Displacement";"Dataset/database";"";"Multisector";"";"USAID-OFDA";"http://www.reachresourcecentre.info/chad/tcdbddiciles-de-retourlac-tchadmars2018";2018;4;"new";"Chad";"";"TCD1801";"Evaluation des dynamiques de d��placement et des besoins essentiels des populations revenues dans la cuvette Sud d";"22iAEE";"People on the move: Movements and Intentions";"CAMP and Host + Movements and intentions";"REACH";"Internal Displacement";"Complex";"CCCM cluster";NA;"1801";"TCD"
